Book_page,Year,Site,Nest_ID,Species,Observer,Date_found,how_found,Clutch_max,floatAge,ageMethod
,2013,chur,13chur13sbdo04w,sbdo,ajohnson,2013-06-14,searcher,4,15,float
,2013,chur,13chur13sbdo05w,sbdo,ajohnson,2013-06-15,searcher,4,22,float
,2013,chur,13chur13sbdo06w,sbdo,ajohnson,2013-06-15,searcher,4,14,float
,2013,chur,13chur13sbdo07w,sbdo,ajohnson,2013-06-26,searcher,4,,
,2013,chur,13chur13sbdo201,sbdo,fsanders,2013-06-18,searcher,4,8,float
,2013,chur,13chur13stsa01w,stsa,ajohnson,2013-06-06,searcher,4,4,float
,2013,chur,13chur13stsa02w,stsa,ajohnson,2013-06-15,searcher,4,9,float
,2013,chur,13chur13stsa08d,stsa,lkoloski,2013-06-10,searcher,4,,
,2013,chur,13chur13whim02,whim,jperz,2013-06-06,searcher,3,,lay
,2013,chur,13chur13whim05,whim,ajohnson,2013-06-07,searcher,2,,lay
,2013,chur,13chur13whim08,whim,ajohnson,2013-06-09,searcher,3,,lay
,2013,chur,13chur13whim15,whim,ajonhson,2013-06-11,searcher,2,,lay
,2013,chur,13chur13whim16dep,whim,ajohnson,2013-06-11,searcher,,,
,2013,chur,13chur13whim19,whim,jperz,2013-06-13,searcher,1,,lay
,2013,chur,13chur13whim20,whim,ajohnson,2013-06-14,searcher,4,6,float
,2013,chur,13chur13whim23,whim,ajohnson,2013-06-15,searcher,4,22,float
,2013,chur,13chur13whim25,whim,jperz,2013-06-16,searcher,4,7,float
,2013,chur,13chur13whim28,whim,ajohnson,2013-06-17,searcher,4,21,float
,2013,chur,13chur13whim30,whim,ajohnson,2013-06-19,searcher,4,21,float
,2013,chur,13chur13whim34,whim,ajohnson,2013-06-20,searcher,4,7,float
,2013,chur,13chur13whim35,whim,jperz,2013-06-20,searcher,4,12,float
,2013,chur,13chur13whim37,whim,canderson,2013-06-21,searcher,4,0,float
,2013,chur,13chur13whim40,whim,ajohnson,2013-06-22,searcher,4,24,float
,2013,chur,13chur13whim43,whim,canderson,2013-06-23,searcher,4,17,float
,2013,chur,13chur13whim44,whim,ajohnson,2013-06-26,searcher,3,17,float
,2013,chur,13chur13whim47,whim,jperz,2013-06-28,searcher,4,,
,2013,chur,13chur13whim51,whim,dturner,2013-06-29,searcher,4,19,float
,2013,chur,13chur13whim54,whim,ajohnson,2013-07-03,searcher,4,20,float
,2013,chur,13chur13whim56,whim,ajohnson,2013-07-08,searcher,4,,hatch
,2013,chur,13chur13wisn01w,wisn,jperz,2013-06-03,searcher,4,,
,2013,chur,13chur13wisn02w,wisn,mheung,2013-06-12,searcher,4,,
,2014,chur,14chur14amgp01w,amgp,jperz,2014-06-21,searcher,4,19,float
,2014,chur,14chur14amgp02d,amgp,nmacdonald,2014-06-14,searcher,3,,lay
,2014,chur,14chur14dunl02w,dunl,jperz,2014-06-27,searcher,2,12,float
,2014,chur,14chur14hugo01l,hugo,tmankis,2014-06-13,searcher,1,0,float
,2014,chur,14chur14hugo01w,hugo,cmurchison,2014-06-10,searcher,4,,
,2014,chur,14chur14hugo02l,hugo,codwyer,2014-06-17,searcher,4,6,float
,2014,chur,14chur14kill01d,kill,lkoloski,2014-06-23,searcher,6,,
,2014,chur,14chur14lesa01l,lesa,codwyer,2014-07-02,searcher,4,12,float
,2014,chur,14chur14lesa01w,lesa,cmurchison,2014-06-16,searcher,4,0,float
,2014,chur,14chur14lesa02d,lesa,cmurchison,2014-06-04,searcher,4,,
,2014,chur,14chur14lesa03d,lesa,lkoloski,2014-06-19,searcher,4,5,float
,2014,chur,14chur14lesa04d,lesa,gholmes,2014-06-22,searcher,4,10,float
,2014,chur,14chur14lesa05d,lesa,gholmes,2014-06-24,searcher,4,9,float
,2014,chur,14chur14sbdo02w,sbdo,jperz,2014-06-21,searcher,4,2,float
,2014,chur,14chur14sbdo03l,sbdo,codwyer,2014-06-21,searcher,3,,hatch
,2014,chur,14chur14sbdo04l,sbdo,tmankis,2014-06-26,searcher,4,8,float
,2014,chur,14chur14sbdo101d,sbdo,gholmes,2014-06-04,searcher,4,0,float
,2014,chur,14chur14st201,stsa,fsanders,2014-06-18,searcher,3,,
,2014,chur,14chur14stsa01w,stsa,jperz,2014-06-17,searcher,3,10,float
,2014,chur,14chur14whim01,whim,jperz,2014-06-04,searcher,1,,lay
,2014,chur,14chur14whim01d,whim,lkoloski,2014-06-14,searcher,4,2,float
,2014,chur,14chur14whim02,whim,cmurchison,2014-06-09,searcher,3,-1,float
,2014,chur,14chur14whim05,whim,jperz,2014-06-15,searcher,3,,lay
,2014,chur,14chur14whim08,whim,jperz,2014-06-16,searcher,1,,lay
,2014,chur,14chur14whim09,whim,nmacdonald,2014-06-16,searcher,2,,lay
,2014,chur,14chur14whim17,whim,jperz,2014-06-20,searcher,2,,lay
,2014,chur,14chur14whim18,whim,jperz,2014-06-21,searcher,1,5,float
,2014,chur,14chur14whim22,whim,jperz,2014-06-25,searcher,2,4,float
,2014,chur,14chur14whim24,whim,jperz,2014-06-25,searcher,1,12,float
,2014,chur,14chur14wisn01w,wisn,jperz,2014-06-16,searcher,4,10,float
,2014,coat,14coatbbsf02,bbpl,sflemming,2014-06-24,searcher,4,3.9,float
,2014,coat,14coatbbss01,bbpl,sshulte,2014-06-24,searcher,4,,float
,2014,coat,14coatdubw02,dunl,bwinn,2014-06-26,searcher,1,,lay
,2014,coat,14coatdusf02,dunl,sflemming,2014-06-18,searcher,4,0.7,float
,2014,coat,14coatdusn02,dunl,sneima,2014-06-18,searcher,4,5.1,float
,2014,coat,14coatduss01,dunl,sshulte,2014-06-19,searcher,4,5.4,float
,2014,coat,14coatduss02,dunl,sshulte,2014-06-20,searcher,4,10.8,float
